predicted_labels	true_labels	lil_interpretations	gil_interpretations
1	1	[('our own inner demons', -0.31641900539398193), ('the choices', -0.3746952414512634), ('the quest', -0.3935079574584961)]	['this movie praise the right to be different and unique', 'a sharp , amusing study of the cult of celebrity']
1	1	[('than money', -0.46234041452407837), ('of purpose', -0.49102309346199036), ('more powerful', -0.5197829902172089), ('more valuable', -0.5225213766098022), ('a sense', -0.5346938967704773)]	['a sharp , amusing study of the cult of celebrity', 'this movie praise the right to be different and unique']
1	1	"[('in forbidden revel s', -0.11357557773590088), ('forbidden revel s', -0.14706826210021973), ('their husbands and fathers', -0.1630130410194397), (""the city 's females"", -0.19817960262298584), ('d ion ys us', -0.22533702850341797)]"	['a sharp , amusing study of the cult of celebrity', 'now the monk must look for a new scrollkeeper']
1	1	[('with a lucrative deal', -0.10639911890029907), ('a lucrative deal', -0.13977736234664917), ('come to r io', -0.17004257440567017), ('in b razil', -0.1732969880104065), ('to r io', -0.21329987049102783)]	['a sharp , amusing study of the cult of celebrity', 'dead bodies are being found in the new york harbor']
1	1	[('will never hold again', -0.14263898134231567), ('that held the cigarettes', -0.2134740948677063), ('held the cigarettes', -0.24351555109024048), ('his entire life', -0.254327654838562), ('hold again', -0.25990718603134155)]	"['this movie praise the right to be different and unique', ""the feds are now determined to bring kilo's operation down""]"
1	1	[('brand o , namely', -0.07926851511001587), ('become an actor', -0.08765983581542969), ('in other fields', -0.09856981039047241), ('tin sel town', -0.10917174816131592), ('both moon light', -0.1168854832649231)]	"['one day , lilja falls in love with andrej', 'the best part about "" gangs "" was daniel day-lewis']"
1	1	[('in new y ork', -0.2183113694190979), ('hip - hop', -0.2570701837539673), ('new y ork', -0.27018195390701294), ('an executive', -0.3499722480773926)]	['this movie praise the right to be different and unique', 'the ultimate hell is about to be raised on earth']
1	1	[('a sche ming pirate', -0.08391201496124268), ('his trusted friend silver', -0.10499775409698486), ('mut iny', -0.23151934146881104), ('on his mind', -0.25602543354034424), ('his mind', -0.3101789355278015)]	['a sharp , amusing study of the cult of celebrity', 'on their way back , they drive through death valley']
1	1	[('in north y orkshire', -0.27020812034606934), ('the women', -0.31030726432800293), ('north y orkshire', -0.3103641867637634), ('r yl stone', -0.34574049711227417)]	['this movie praise the right to be different and unique', 'a sharp , amusing study of the cult of celebrity']
1	1	[]	['this movie praise the right to be different and unique', 'the ultimate hell is about to be raised on earth']
1	1	[('before the summer ends', -0.16220200061798096), ('a broken heart', -0.16802948713302612), ('the summer ends', -0.21283084154129028), ('first love', -0.21436738967895508), ('out of control', -0.23371654748916626)]	"[""the feds are now determined to bring kilo's operation down"", 'this movie praise the right to be different and unique']"
1	1	[('got from the drugs', -0.09145510196685791), ('to buy a gun', -0.11767542362213135), ('from the drugs', -0.1621045470237732), ('buy a gun', -0.17837995290756226), ('the drugs', -0.2364511489868164)]	['on their way back , they drive through death valley', 'dead bodies are being found in the new york harbor']
1	1	[('account for his absence', -0.16413676738739014), ('for his absence', -0.24127799272537231), ('his absence', -0.292083203792572)]	['a sharp , amusing study of the cult of celebrity', 'this movie praise the right to be different and unique']
1	1	[('slowly - return ing', -0.27013397216796875), ('slowly - return', -0.3069453239440918), ('to terms', -0.3815668821334839)]	"['the ultimate hell is about to be raised on earth', ""the feds are now determined to bring kilo's operation down""]"
1	1	[('inf at uated', -0.10637301206588745), ('tr acy', -0.1894906759262085), ('his relationship', -0.20851999521255493), ('his drinking', -0.22444844245910645), ('with whom', -0.22895896434783936)]	['a sharp , amusing study of the cult of celebrity', 'dead bodies are being found in the new york harbor']
1	1	[('introducing his film mockery', -0.10345453023910522), ('his film mockery', -0.16540497541427612), ('in intensive care', -0.20365703105926514), ('his producer', -0.20739352703094482), ('a phone call', -0.2250242829322815)]	"['this movie praise the right to be different and unique', ""the feds are now determined to bring kilo's operation down""]"
1	1	[('encounters on his hunt', -0.11563235521316528), ('the number one person', -0.14930438995361328), ('on his hunt', -0.20357173681259155), ('# 180', -0.24597537517547607), ('several men', -0.2505679130554199)]	['a sharp , amusing study of the cult of celebrity', 'this movie praise the right to be different and unique']
1	1	[('the recent lose', -0.32809317111968994), ('a elderly man', -0.34781086444854736), ('his wife', -0.35833728313446045), ('of his wife', -0.3931542634963989), ('a story', -0.4813269376754761)]	['a sharp , amusing study of the cult of celebrity', 'this movie praise the right to be different and unique']
1	1	"[('any dirt on him', -0.11304014921188354), ('any dirt', -0.190507709980011), (""d aniel le 's"", -0.2010411024093628), ('on him', -0.29884499311447144)]"	['dead bodies are being found in the new york harbor', 'a sharp , amusing study of the cult of celebrity']
1	1	[('cre ighton d uke', -0.17783159017562866), ('for quite some time', -0.21095550060272217), ('quite some time', -0.24428868293762207), ('to hell', -0.27043503522872925), ('j ason', -0.2945291996002197)]	['a sharp , amusing study of the cult of celebrity', 'this movie praise the right to be different and unique']
1	1	[('to order and harmony', -0.023497581481933594), ('order and harmony', -0.042794883251190186), ('of all pleasures', -0.06859570741653442), ('handsome , but naive', -0.07451128959655762), ('all pleasures', -0.09455138444900513)]	"['one day , lilja falls in love with andrej', 'the best part about "" gangs "" was daniel day-lewis']"
1	1	[('a young illust rator', -0.08344060182571411), ('the lat ino neighborhood', -0.08434498310089111), ('car los ram irez', -0.14571261405944824), ('new y ork', -0.15403807163238525), ('washing ton heights', -0.16242998838424683)]	['a sharp , amusing study of the cult of celebrity', 'offers a fascinating look into the world of upper-echelon comics']
1	1	[('on the site', -0.3713590204715729), ('the site', -0.3893694579601288), ('d azed', -0.4139358699321747), ('trance - like', -0.4144452214241028), ('a ferv', -0.4183379113674164)]	['this movie praise the right to be different and unique', 'a sharp , amusing study of the cult of celebrity']
1	1	[('em ily w atson', -0.16058582067489624), ('his romantic journey', -0.20251977443695068), ('a mysterious woman', -0.21622103452682495), ('enter his life', -0.2586491107940674), ('his life', -0.3059677481651306)]	['dead bodies are being found in the new york harbor', 'a sharp , amusing study of the cult of celebrity']
1	1	[('in the justice system', -0.08006852865219116), ('the justice system', -0.13738733530044556), ('the cracks', -0.2129637598991394), ('their torment ors', -0.2384096384048462), ('too long', -0.2928808927536011)]	['a sharp , amusing study of the cult of celebrity', 'this movie praise the right to be different and unique']
1	1	[('where her mother works', -0.10749423503875732), ('clay and aust in', -0.10752218961715698), ('her two best friends', -0.10957884788513184), ('to help her father', -0.1275864839553833), ('her mother works', -0.15552401542663574)]	['dead bodies are being found in the new york harbor', 'a sharp , amusing study of the cult of celebrity']
0	1	[('all uring as hell', -0.03274029493331909), ('all uring', -0.1654595136642456), ('as hell', -0.21974998712539673), ('sexually predatory', -0.22365015745162964)]	['this movie praise the right to be different and unique', 'a sharp , amusing study of the cult of celebrity']
1	1	"[('his sense of reality', -0.1542711853981018), ('ph ant oms', -0.22572648525238037), (""matt 's life"", -0.23512870073318481), ('that he feels', -0.26611900329589844), (""matt 's"", -0.3017251491546631)]"	['on their way back , they drive through death valley', 'this movie praise the right to be different and unique']
1	1	[('aids testing', -0.24188295006752014), ('fellow actors and actresses', -0.3498346209526062)]	['this movie praise the right to be different and unique', 'a sharp , amusing study of the cult of celebrity']
1	1	[('they have never done', -0.0733877420425415), ('# trust each other', -0.09110099077224731), ('have never done', -0.11352473497390747), ('trust each other', -0.1553502082824707), ('the job done', -0.16859138011932373)]	"['this movie praise the right to be different and unique', ""the feds are now determined to bring kilo's operation down""]"
1	1	[('the two lifelong friends', -0.08401048183441162), ('t & # 252', -0.11457443237304688), ('quite a fight', -0.15831875801086426), ('the evil intentions', -0.19333720207214355), ('r lich', -0.24993658065795898)]	['a sharp , amusing study of the cult of celebrity', 'this movie praise the right to be different and unique']
1	1	[('at the cemetery', -0.3325321078300476), ('the cemetery', -0.33890706300735474), ('the following day', -0.3851149082183838)]	['this movie praise the right to be different and unique', 'a sharp , amusing study of the cult of celebrity']
1	1	"[('we all', -0.3143782615661621), ('battle within our selves', -0.34794414043426514), ('within our selves', -0.3873934745788574), (""yle 's"", -0.3893149495124817), ('our selves', -0.3916615843772888)]"	['a sharp , amusing study of the cult of celebrity', 'this movie praise the right to be different and unique']
1	1	[('to the new priest', -0.08745425939559937), ('a growing attraction', -0.0998997688293457), ('helpless ly ent', -0.13747268915176392), ('the new priest', -0.1429118514060974), ('whose religious devotion', -0.15059131383895874)]	['a sharp , amusing study of the cult of celebrity', 'dead bodies are being found in the new york harbor']
0	1	[('an incess ant stream', 0.09151995182037354), ('a history machine', -0.09273701906204224)]	['a sharp , amusing study of the cult of celebrity', 'offers a fascinating look into the world of upper-echelon comics']
1	1	[('of age', -0.17268070578575134), ('north af rica', -0.2029496729373932), ('of north af rica', -0.293054535984993)]	['this movie praise the right to be different and unique', 'a sharp , amusing study of the cult of celebrity']
1	1	[('of his father', -0.23685294389724731), ('the death', -0.2671756148338318), ('his father', -0.2904566526412964)]	['this movie praise the right to be different and unique', 'the ultimate hell is about to be raised on earth']
1	1	"[('two needy women', -0.09654682874679565), ('a mysterious minister', -0.11041957139968872), (""his victim 's face"", -0.11173039674758911), ('the par oled man', -0.11452126502990723), ('dun st and hunter', -0.13743150234222412)]"	['a sharp , amusing study of the cult of celebrity', 'dead bodies are being found in the new york harbor']
1	1	[('start acting their age', -0.17132675647735596), ('acting their age', -0.24464857578277588), ('with their lives', -0.3077409267425537), ('their age', -0.32171839475631714), ('their lives', -0.35715925693511963)]	['a sharp , amusing study of the cult of celebrity', 'this movie praise the right to be different and unique']
1	1	"[('submarine - laun ched', -0.11682260036468506), (""the navy 's struggle"", -0.13157206773757935), ('w w ii', -0.15128201246261597), (""the navy 's"", -0.23277217149734497), ('the era', -0.3044755458831787)]"	['a sharp , amusing study of the cult of celebrity', 'this movie praise the right to be different and unique']
1	1	[('to get the gun', -0.15394705533981323), ('get the gun', -0.19823020696640015), ('the gun', -0.2595720887184143), ('mit chell', -0.3151375651359558), ('is there', -0.32550787925720215)]	"[""the feds are now determined to bring kilo's operation down"", 'this movie praise the right to be different and unique']"
1	1	"[('major m erton', -0.19636809825897217), (""church ill 's"", -0.2242298126220703), ('c uth ber ts', -0.25992661714553833), ('the arrival', -0.3171645402908325)]"	['a sharp , amusing study of the cult of celebrity', 'dead bodies are being found in the new york harbor']
0	1	[('all of their attention', -0.0625963807106018), ('of the real world', -0.06733876466751099), ('of their attention', -0.12999951839447021), ('of the movies', -0.16930413246154785), ('the real world', -0.18651771545410156)]	['this movie praise the right to be different and unique', 'offers a fascinating look into the world of upper-echelon comics']
1	1	[('in law enforcement', -0.1489000916481018), ('to his work', -0.16808420419692993), ('law enforcement', -0.17932534217834473), ('his work', -0.22940385341644287), ('for himself', -0.2563166618347168)]	['a sharp , amusing study of the cult of celebrity', 'dead bodies are being found in the new york harbor']
1	1	[('from the outside world', -0.09636807441711426), ('the outside world', -0.13029462099075317), ('30 year old', -0.17822545766830444), ('guest house', -0.1909986138343811), ('of his father', -0.21238982677459717)]	['a sharp , amusing study of the cult of celebrity', 'dead bodies are being found in the new york harbor']
1	1	[('the communist hierarchical order', -0.03308248519897461), ('to sell her publicity', -0.038194477558135986), ('the symbol of freedom', -0.041144490242004395), ('of tank dec oys', -0.0474429726600647), ('sell her publicity', -0.063129723072052)]	"['one day , lilja falls in love with andrej', 'the best part about "" gangs "" was daniel day-lewis']"
1	1	[('to live his dream', -0.15951675176620483), ('live his dream', -0.21692442893981934), ('for his family', -0.23694473505020142), ('imp ulsive', -0.2513009309768677), ('at nothing', -0.2527061700820923)]	['this movie praise the right to be different and unique', 'a sharp , amusing study of the cult of celebrity']
1	1	"[('nightclub parking val et', -0.058258891105651855), ('of debt - collect', -0.09499090909957886), (""brother gu 's gang"", -0.09787458181381226), ('to work alongside him', -0.12435787916183472), ('debt - collect', -0.1274704933166504)]"	['a sharp , amusing study of the cult of celebrity', 'dead bodies are being found in the new york harbor']
1	1	[('this country', -0.37115466594696045), ('to this country', -0.3748025894165039), ('so many', -0.3954881727695465), ('m igrants', -0.39788931608200073), ('a tragic comedy', -0.4131370782852173)]	['this movie praise the right to be different and unique', 'a sharp , amusing study of the cult of celebrity']
1	1	[('new me x ico', -0.4793494641780853), ('even the world', -0.5100881159305573)]	['this movie praise the right to be different and unique', 'the ultimate hell is about to be raised on earth']
1	1	[('a professional gamb ler', -0.14006590843200684), ('in the fishing business', -0.21507012844085693), ('the fishing business', -0.22079503536224365), ('the b rit', -0.32518213987350464)]	"['a sharp , amusing study of the cult of celebrity', ""the feds are now determined to bring kilo's operation down""]"
1	1	"[('of christ mas', -0.0978274941444397), ('the true meaning', -0.10493677854537964), (""the duo 's motive"", -0.11266857385635376), ('spreading good cheer', -0.12215477228164673), ('8 - year', -0.1231042742729187)]"	"['a sharp , amusing study of the cult of celebrity', ""the feds are now determined to bring kilo's operation down""]"
1	1	[('a substitute teacher', -0.161288321018219), ('4 th grade', -0.17116963863372803), ('is in debt', -0.22726589441299438), ('in debt', -0.27835410833358765), ('a job', -0.28767579793930054)]	['a sharp , amusing study of the cult of celebrity', 'this movie praise the right to be different and unique']
1	1	[('your experiences', -0.3881073296070099), ('your memories', -0.41012847423553467), ('of them', -0.41928133368492126), ('your memories of them', -0.5842168927192688)]	['this movie praise the right to be different and unique', 'a sharp , amusing study of the cult of celebrity']
1	1	[('the ind ian ocean', -0.22233939170837402), ('jew ish prisoners', -0.2977566719055176), ('his father was killed', -0.29801928997039795), ('of jew ish prisoners', -0.30730384588241577), ('the 124 tom bs', -0.3245314359664917)]	['this movie praise the right to be different and unique', 'dead bodies are being found in the new york harbor']
1	1	[('row an at kinson', -0.12169742584228516), ('the crown jewels', -0.16194409132003784), ('of l ondon', -0.20660197734832764), ('the tower', -0.2666745185852051), ('at kinson', -0.28324615955352783)]	['dead bodies are being found in the new york harbor', 'a sharp , amusing study of the cult of celebrity']
0	1	[('in its singular intensity', 0.06318730115890503), ('macro - cos mic', 0.06281256675720215), ('a travel ogue', -0.030838310718536377), ('the b rit ish', -0.03310883045196533), ('classical and contemporary verse', -0.03579235076904297)]	['a sharp , amusing study of the cult of celebrity', 'this movie praise the right to be different and unique']
1	1	[('a wing ed nightmare', -0.03610259294509888), ('a seemingly hopeless struggle', -0.05063563585281372), ('as it can', -0.0812796950340271), ('as many victims', -0.08232462406158447), ('of young athletes', -0.08351731300354004)]	"['one day , lilja falls in love with andrej', 'the best part about "" gangs "" was daniel day-lewis']"
0	1	[('money - driven', -0.07974803447723389), ('of art', -0.15646892786026)]	['this movie praise the right to be different and unique', 'a sharp , amusing study of the cult of celebrity']
1	1	[('re clusive and awkward', -0.3363255262374878), ('his camera', -0.4025956392288208), ('his subjects', -0.415233850479126), ('himself and his subjects', -0.4338224530220032)]	['this movie praise the right to be different and unique', 'a sharp , amusing study of the cult of celebrity']
1	1	[('what else to do', -0.11073833703994751), ('what had happened', -0.15133970975875854), ('unfolding around him', -0.22872120141983032), ('had happened', -0.24849826097488403), ('what else', -0.2670753002166748)]	"['this movie praise the right to be different and unique', ""the feds are now determined to bring kilo's operation down""]"
1	1	[('no ve mber 2001', -0.16410481929779053), ('another small camp', -0.17534244060516357), ('tal iban controlled', -0.188221275806427), ('of m ak aki', -0.19774192571640015), ('the refugee camp', -0.21085232496261597)]	['a sharp , amusing study of the cult of celebrity', 'this movie praise the right to be different and unique']
1	1	[('able to heal himself', -0.08067727088928223), ('the strength of strangers', -0.0932077169418335), ('to heal himself', -0.18048328161239624), ('becomes blurred and treacherous', -0.18235278129577637), ('blurred and treacherous', -0.22317683696746826)]	['on their way back , they drive through death valley', 'a sharp , amusing study of the cult of celebrity']
1	1	[('used to play in', -0.17189067602157593), ('pay for her transplant', -0.2297610640525818), ('to play in', -0.23505663871765137), ('for her transplant', -0.2872943878173828), ('play in', -0.30458855628967285)]	"['this movie praise the right to be different and unique', ""the feds are now determined to bring kilo's operation down""]"
1	1	[('severe competition', -0.33560407161712646), ('good enough', -0.43356138467788696), ('well - established', -0.43363791704177856), ('some cases', -0.44714415073394775), ('become good enough', -0.4563862681388855)]	"['this movie praise the right to be different and unique', ""the feds are now determined to bring kilo's operation down""]"
0	1	[('the film', 0.04455631971359253), ('even the simplest decisions', -0.02136176824569702), ('a destructive relationship', -0.05714249610900879)]	['this movie praise the right to be different and unique', 'a sharp , amusing study of the cult of celebrity']
1	1	[('better then john ny', -0.08226382732391357), ('the beating he took', -0.128137469291687), ('then john ny', -0.13625675439834595), ('john ny', -0.2091587781906128), ('just as good', -0.2351016402244568)]	"[""the feds are now determined to bring kilo's operation down"", 'the ultimate hell is about to be raised on earth']"
1	1	[('month seven', -0.4063224792480469), ('march 2001', -0.4471129775047302), ('apr il 1999', -0.44831299781799316), ('the agenda', -0.491495281457901), ('the top', -0.5373384654521942)]	['this movie praise the right to be different and unique', 'a sharp , amusing study of the cult of celebrity']
1	1	[('the kidnapped professor', -0.10125106573104858), ('the lost temple', -0.11405318975448608), ('of their lif etimes', -0.12833380699157715), ('their lif etimes', -0.17320173978805542), ('the chase', -0.2809838056564331)]	['a sharp , amusing study of the cult of celebrity', 'dead bodies are being found in the new york harbor']
1	1	[('the ugly truth', -0.25798189640045166), ('beneath his false facade', -0.265439510345459), ('his false facade', -0.32009613513946533)]	"[""the feds are now determined to bring kilo's operation down"", 'the ultimate hell is about to be raised on earth']"
1	1	[('returning to ch ina', -0.2557757496833801), ('to ch ina', -0.2780361771583557), ('ch ina', -0.3416435122489929), ('the waitress', -0.3563162684440613), ('of love', -0.38948822021484375)]	"[""the feds are now determined to bring kilo's operation down"", 'the ultimate hell is about to be raised on earth']"
1	1	[('unfolds before his eyes', -0.14291417598724365), ('before his eyes', -0.1900498867034912), ('unknown to him', -0.19867008924484253), ('ultimately capt ivated', -0.24500179290771484), ('his eyes', -0.27083271741867065)]	"[""the feds are now determined to bring kilo's operation down"", 'the ultimate hell is about to be raised on earth']"
1	1	[('named zip mart in', -0.10717308521270752), ('to write an expose', -0.12249916791915894), ('zip mart in', -0.17041826248168945), ('write an expose', -0.17663031816482544), ('a naive astronaut', -0.17710936069488525)]	"[""the feds are now determined to bring kilo's operation down"", 'the ultimate hell is about to be raised on earth']"
1	1	"[(""mot own 's"", -0.07029145956039429), ('every hit', -0.14118051528930664), ('fourteen year', -0.20652523636817932), ('the heartbeat', -0.22849687933921814)]"	['this movie praise the right to be different and unique', 'a sharp , amusing study of the cult of celebrity']
1	1	[('the act', -0.3771283030509949), ('gra ffiti', -0.4212011694908142), ('over them', -0.43224188685417175), ('painting over them', -0.4592987298965454), ('tags and graffiti', -0.46120142936706543)]	['the ultimate hell is about to be raised on earth', 'this movie praise the right to be different and unique']
1	1	[('12 year - old', -0.09378939867019653), ('green hair', -0.1831459403038025), ('bright clothes', -0.18950563669204712), ('12 year', -0.2151191234588623)]	['this movie praise the right to be different and unique', 'a sharp , amusing study of the cult of celebrity']
1	1	[('earlier in the tale', -0.09861183166503906), ('huge media attention', -0.0998767614364624), ('the double murder', -0.13018769025802612), ('in the tale', -0.16192805767059326), ('the tale', -0.21554219722747803)]	"['this movie praise the right to be different and unique', ""the feds are now determined to bring kilo's operation down""]"
1	1	[('sees in a cafe', -0.052254319190979004), ('he waits for her', -0.06662243604660034), ('new y ork', -0.08788520097732544), ('in a cafe', -0.08799642324447632), ('long - lost', -0.10919690132141113)]	"['one day , lilja falls in love with andrej', 'the best part about "" gangs "" was daniel day-lewis']"
1	1	[('of the master', -0.251520574092865), ('the master', -0.3056924343109131), ('bizarre and dangerous', -0.32020771503448486)]	['this movie praise the right to be different and unique', 'a sharp , amusing study of the cult of celebrity']
1	1	[('the imperfect ions', -0.15368056297302246), ('as they seem', -0.22406786680221558), ('as perfect', -0.2348232865333557), ('the y ork', -0.23893260955810547), ('at any cost', -0.24542182683944702)]	['a sharp , amusing study of the cult of celebrity', 'dead bodies are being found in the new york harbor']
1	1	[('to their local malls', -0.31842267513275146), ('their local malls', -0.3358699083328247), ('the festive holiday season', -0.3927633762359619), ('merry shoppers', -0.41487640142440796), ('their yearly pilgr images', -0.43027782440185547)]	['this movie praise the right to be different and unique', 'a sharp , amusing study of the cult of celebrity']
1	1	[('a musician into sm', -0.09564399719238281), ('son ny', -0.17706245183944702), ('a musician', -0.19847065210342407), ('# 214', -0.21034997701644897), ('into sm', -0.2429647445678711)]	['a sharp , amusing study of the cult of celebrity', 'this movie praise the right to be different and unique']
1	1	"[('to euro pe', -0.12524455785751343), ('euro pe', -0.14361757040023804), ('s arah and tom', -0.14496666193008423), ('for their honey moon', -0.1510690450668335), (""s arah 's"", -0.15627127885818481)]"	"['one day , lilja falls in love with andrej', 'the best part about "" gangs "" was daniel day-lewis']"
0	1	[('the faint of heart', 0.04640275239944458), ('the faint', -0.10884422063827515), ('of heart', -0.12201780080795288), ('the price of glory', -0.17295974493026733), ('pain and blood', -0.20562011003494263)]	['this movie praise the right to be different and unique', 'the ultimate hell is about to be raised on earth']
1	1	"[('a talented street drummer', -0.10648584365844727), ('in a southern university', -0.1362091302871704), ('to victory', -0.14097708463668823), ('a southern university', -0.17342352867126465), (""its marching band 's"", -0.17759376764297485)]"	['the ultimate hell is about to be raised on earth', 'this movie praise the right to be different and unique']
1	1	[('the world', -0.4262797236442566), ('the best baseball player', -0.4272763133049011), ('in the world', -0.4622654616832733)]	['this movie praise the right to be different and unique', 'a sharp , amusing study of the cult of celebrity']
1	1	[('her older cell mates', -0.11626631021499634), ('a new inmate', -0.21583688259124756), ('the hands', -0.26499199867248535), ('mit ra', -0.28534311056137085), ('8 years', -0.29937857389450073)]	"[""the feds are now determined to bring kilo's operation down"", 'the ultimate hell is about to be raised on earth']"
1	1	[('launches a devastating attack', -0.08845007419586182), ('with even more discrimination', -0.0988505482673645), ('even more discrimination', -0.1319894790649414), ('an unforeseen enemy', -0.14169347286224365), ('a devastating attack', -0.14306765794754028)]	['this movie praise the right to be different and unique', 'a sharp , amusing study of the cult of celebrity']
1	1	[('lives intersect', -0.26061296463012695), ('is destiny', -0.27143341302871704), ('where lives intersect', -0.33282625675201416), ('of situations', -0.34668800234794617), ('ge ography', -0.34798285365104675)]	['this movie praise the right to be different and unique', 'a sharp , amusing study of the cult of celebrity']
1	1	[('nasty but irresistible', -0.18893778324127197), ('of bomb ay', -0.21072489023208618), ('goes horribly wrong', -0.28513211011886597), ('bomb ay', -0.29752063751220703), ('horribly wrong', -0.3456801772117615)]	"[""the feds are now determined to bring kilo's operation down"", 'the ultimate hell is about to be raised on earth']"
1	1	[('p ied ras', -0.32077962160110474), ('large stones', -0.34011614322662354), ('a career', -0.3731299638748169)]	['a sharp , amusing study of the cult of celebrity', 'this movie praise the right to be different and unique']
1	1	[('self proclaimed singles experts', -0.06396162509918213), (' ivan mart in', -0.0968095064163208), ('to help their buddy', -0.11783820390701294), ('lord jam ar', -0.16023904085159302), ('help their buddy', -0.1633177399635315)]	['dead bodies are being found in the new york harbor', 'a sharp , amusing study of the cult of celebrity']
1	1	[('tooth pick', -0.1837891936302185)]	['this movie praise the right to be different and unique', 'a sharp , amusing study of the cult of celebrity']
1	1	[('of - hon or', -0.10086357593536377), ('the disgruntled maid', -0.10844695568084717), ('at the shower', -0.12409287691116333), ('of - hon', -0.16608786582946777), ('of her life', -0.1675766110420227)]	"['the ultimate hell is about to be raised on earth', ""the feds are now determined to bring kilo's operation down""]"
1	1	[('out of the marriage', -0.1757524013519287), ('of the marriage', -0.21484440565109253), ('only one way', -0.2447766661643982), ('the marriage', -0.25730812549591064), ('of her daughter', -0.2937418222427368)]	"[""the feds are now determined to bring kilo's operation down"", 'this movie praise the right to be different and unique']"
1	1	"[('friends and family members', -0.3183826804161072), ('family members', -0.32871127128601074), (""her family 's"", -0.34885555505752563), ('the years', -0.3603588938713074), ('died over the years', -0.3832005262374878)]"	['the ultimate hell is about to be raised on earth', 'this movie praise the right to be different and unique']
1	1	[('from nothing', -0.3310139775276184), ('gets everything', -0.349031925201416)]	['on their way back , they drive through death valley', 'this movie praise the right to be different and unique']
1	1	[('he holds for it', -0.22791385650634766), ('holds for it', -0.27047550678253174), ('of expectation', -0.29749220609664917), ('ig by', -0.33265239000320435), ('for it', -0.3466233015060425)]	['a sharp , amusing study of the cult of celebrity', 'this movie praise the right to be different and unique']
