predicted_labels	true_labels	lil_interpretations	gil_interpretations
1	1	[('often affecting', -0.43801313638687134)]	['show-stoppingly', 'worldly-wise and very funny script']
0	0	[('ingly bleak and desperate', -0.04606631398200989)]	['astoundingly', 'ugly and mindless']
1	1	[('commercial yet inventive', -0.37534230947494507), ('a major career', -0.3890834450721741)]	['astoundingly', 'engrossing story']
1	1	"[(""the production ' s"", -0.33283430337905884)]"	['a funny and touching film that is gorgeously', 'astoundingly']
0	0	[]	['astoundingly', 'let-down']
1	1	[('at young women', -0.40952998399734497), ('the film', -0.5349970459938049), ('young women', -0.5486398935317993), ('ly serious', -0.5508483648300171)]	['worldly-wise and very funny script', 'a funny and touching film that is gorgeously']
0	0	[]	['ugly and mindless', 'astoundingly']
0	0	[('your ex - wife', -0.03153431415557861)]	['narcissism and', 'astoundingly']
1	1	"[('of comedy and romance', -0.16770344972610474), (""the film ' s"", -0.2283516526222229), ('comedy and romance', -0.2845524549484253), ('easy going', -0.42900222539901733), ('about music', -0.6140022575855255)]"	['worldly-wise and very funny script', 'show-stoppingly']
0	0	[('on an ig loo', -0.02672398090362549), ('to utter turkey', -0.03979212045669556), ('to jer ky', -0.041896045207977295), ('an ig loo', -0.06719648838043213), ('most of which', -0.08737784624099731)]	['astoundingly', 'let-down']
1	1	[('keep the film grounded', -0.267459511756897), ('of the leads', -0.41881412267684937), ('the leads', -0.5229304134845734), ('rive ted', -0.532744973897934), ('the film', -0.5369948148727417)]	['show-stoppingly', 'four star performance']
0	0	[('in the same movie', -0.09198129177093506), ('of laz iness', -0.10206305980682373), ('the same movie', -0.17791002988815308), ('e ug ene levy', -0.188251793384552), ('laz iness', -0.23505157232284546)]	['worldly-wise and very funny script', 'narcissism and']
0	0	[('a lack of humor', -0.06256788969039917), ('balance out the violence', -0.10507750511169434), ('a lack', -0.22369569540023804), ('of humor', -0.23343950510025024), ('the violence', -0.2857719659805298)]	['astoundingly', 'preposterous']
1	1	[('an emotion', -0.5232198536396027), ('to pity', -0.5260310769081116), ('closer to pity', -0.5558409094810486)]	['astoundingly', 'let-down']
0	0	"[(""they ' re seeking"", -0.033165574073791504), (""' re seeking"", -0.08126264810562134), ('every day', -0.16104966402053833), ('with trouble', -0.16120684146881104), ('thr ills', -0.16831159591674805)]"	['astoundingly', 'preposterousness']
1	1	[('from ind ia', -0.4438071846961975), ('high drama', -0.5131026804447174), ('ind ia', -0.5777716636657715)]	['astoundingly', 'show-stoppingly']
1	1	[('are raw', -0.713831901550293), ('had family trauma', -0.7199798822402954), ('family trauma', -0.7267774045467377), ('a nerve', -0.79889115691185)]	['astoundingly', 'show-stoppingly']
1	1	[('ify her outrageous charm', -0.15444141626358032), ('her outrageous charm', -0.27128803730010986), ('liter ate', -0.48900306224823), ('in am  lie', -0.5203028619289398), ('am  lie', -0.6630514860153198)]	['worldly-wise and very funny script', 'a funny and touching film that is gorgeously']
0	0	[('plain old', -0.11433541774749756)]	['astoundingly', 'ugly and destructive']
0	0	[('without benefit of song', -0.007149219512939453), ('benefit of song', -0.04454106092453003), ('its best moments', -0.05203324556350708), ('high school', -0.09106558561325073), ('of grease', -0.11099350452423096)]	['astoundingly', 'ugly and destructive']
0	0	[('such an uneven tone', -0.14147073030471802), ('tragedy begins', -0.22697830200195312), ('of political correctness', -0.26459693908691406), ('political correctness', -0.2872433066368103), ('humor ends', -0.29432404041290283)]	['astoundingly', 'ugly and destructive']
0	0	[('felt like it did', -0.02411961555480957), ('lasts for days', -0.048760294914245605), ('like it did', -0.08010268211364746), ('for days', -0.12050491571426392), ('it did', -0.15821468830108643)]	['astoundingly', 'played-out']
1	0	[('caul field', -0.4535517394542694), ('en caul field', -0.5281239748001099), ('did it better', -0.5294579267501831)]	['astoundingly', 'four star performance']
1	1	[('filled with surprises', -0.43808597326278687), ('able and intriguing', -0.4492606520652771), ('with surprises', -0.5290808081626892), ('is an original', -0.5845773220062256), ('read my lips', -0.62314572930336)]	['four star performance', 'engrossing story']
1	1	[('of a man', -0.455282986164093), ('so closely', -0.474825382232666), ('his work', -0.525640070438385), ('a man', -0.5402997732162476), ('the spirit', -0.5557765960693359)]	['show-stoppingly', 'four star performance']
0	0	[('to formula romantic comedy', -0.021242380142211914), ('to make people laugh', -0.05544322729110718), ('formula romantic comedy', -0.07279479503631592), ('from stale parody', -0.08692681789398193), ('make people laugh', -0.12173789739608765)]	['astoundingly', 'preposterousness']
0	0	[('between past and present', -0.08267408609390259), ('the material link', -0.16425228118896484), ('past and present', -0.17200469970703125), ('125 - year', -0.1980762481689453), ('the emotional connections', -0.23307198286056519)]	['astoundingly', 'preposterousness']
1	1	[('those who take part', -0.17960220575332642), ('at the democratic exercise', -0.197986900806427), ('who take part', -0.30060285329818726), ('the democratic exercise', -0.3063122034072876), ('its significance', -0.40607118606567383)]	['worldly-wise and very funny script', 'thought-provoking film']
0	0	[]	['ugly and destructive', 'astoundingly']
0	0	[('this was god awful', -0.04565703868865967), ('was god awful', -0.09764128923416138), ('to look away', -0.1541394591331482), ('god awful', -0.18168258666992188), ('look away', -0.24490416049957275)]	['astoundingly', 'astoundingly rich film']
1	1	[('the most compelling variations', -0.2616822123527527), ('the company of men', -0.34224873781204224), ('most compelling', -0.4621003270149231), ('of men', -0.5302644670009613), ('the company', -0.5362196564674377)]	['worldly-wise and very funny script', 'show-stoppingly']
0	0	[('of unintentional how lers', -0.027943551540374756), ('of smiles and tears', -0.07681435346603394), ('unintentional how lers', -0.08807283639907837), ('numerous yawn s', -0.09258532524108887), ('smiles and tears', -0.14675581455230713)]	['preposterousness', 'astoundingly']
1	1	[]	['four star performance', 'show-stoppingly']
0	0	[('the grace of god', -0.2649957537651062), ('a wary sense', -0.3010401725769043), ('of god', -0.33083611726760864), ('the grace', -0.38509857654571533), ('into its world', -0.477843701839447)]	['worldly-wise and very funny script', 'astoundingly']
0	0	[('s just plain bored', -0.020501434803009033), ('no sense of humor', -0.03558868169784546), ('just plain bored', -0.06708031892776489), ('no sense', -0.183824360370636), ('of humor', -0.2136627435684204)]	['astoundingly', 'preposterousness']
0	0	[]	['astoundingly', 'preposterousness']
